,article_id,title,user_id,nb_interactions_user_article,date,count_ratings,mean_rate_article,rank_score
0,593,upload files to ibm data science experience using the command line,1,1,0,108,1.1851851851851851,1.1991856561954302
1,593,upload files to ibm data science experience using the command line,2,1,0,108,1.1851851851851851,1.1991856561954302
2,593,upload files to ibm data science experience using the command line,3,2,0,108,1.1851851851851851,1.1991856561954302
3,593,upload files to ibm data science experience using the command line,4,1,0,108,1.1851851851851851,1.1991856561954302
4,593,upload files to ibm data science experience using the command line,5,1,0,108,1.1851851851851851,1.1991856561954302
5,593,upload files to ibm data science experience using the command line,6,1,0,108,1.1851851851851851,1.1991856561954302
6,593,upload files to ibm data science experience using the command line,7,1,0,108,1.1851851851851851,1.1991856561954302
7,593,upload files to ibm data science experience using the command line,8,1,0,108,1.1851851851851851,1.1991856561954302
8,593,upload files to ibm data science experience using the command line,9,5,0,108,1.1851851851851851,1.1991856561954302
9,593,upload files to ibm data science experience using the command line,10,1,0,108,1.1851851851851851,1.1991856561954302
10,593,upload files to ibm data science experience using the command line,11,1,0,108,1.1851851851851851,1.1991856561954302
11,593,upload files to ibm data science experience using the command line,12,1,0,108,1.1851851851851851,1.1991856561954302
12,593,upload files to ibm data science experience using the command line,13,1,0,108,1.1851851851851851,1.1991856561954302
13,593,upload files to ibm data science experience using the command line,14,2,0,108,1.1851851851851851,1.1991856561954302
14,593,upload files to ibm data science experience using the command line,15,1,0,108,1.1851851851851851,1.1991856561954302
15,593,upload files to ibm data science experience using the command line,16,1,0,108,1.1851851851851851,1.1991856561954302
16,593,upload files to ibm data science experience using the command line,17,1,0,108,1.1851851851851851,1.1991856561954302
17,593,upload files to ibm data science experience using the command line,18,1,0,108,1.1851851851851851,1.1991856561954302
18,593,upload files to ibm data science experience using the command line,19,1,0,108,1.1851851851851851,1.1991856561954302
19,593,upload files to ibm data science experience using the command line,20,1,0,108,1.1851851851851851,1.1991856561954302
20,593,upload files to ibm data science experience using the command line,21,2,0,108,1.1851851851851851,1.1991856561954302
21,593,upload files to ibm data science experience using the command line,22,2,0,108,1.1851851851851851,1.1991856561954302
22,593,upload files to ibm data science experience using the command line,23,2,0,108,1.1851851851851851,1.1991856561954302
23,593,upload files to ibm data science experience using the command line,24,1,0,108,1.1851851851851851,1.1991856561954302
24,593,upload files to ibm data science experience using the command line,25,1,0,108,1.1851851851851851,1.1991856561954302
25,593,upload files to ibm data science experience using the command line,26,2,0,108,1.1851851851851851,1.1991856561954302
26,593,upload files to ibm data science experience using the command line,27,1,0,108,1.1851851851851851,1.1991856561954302
27,593,upload files to ibm data science experience using the command line,28,1,0,108,1.1851851851851851,1.1991856561954302
28,593,upload files to ibm data science experience using the command line,29,2,0,108,1.1851851851851851,1.1991856561954302
29,593,upload files to ibm data science experience using the command line,30,1,0,108,1.1851851851851851,1.1991856561954302
30,593,upload files to ibm data science experience using the command line,31,1,0,108,1.1851851851851851,1.1991856561954302
31,593,upload files to ibm data science experience using the command line,32,1,0,108,1.1851851851851851,1.1991856561954302
32,593,upload files to ibm data science experience using the command line,33,1,0,108,1.1851851851851851,1.1991856561954302
33,593,upload files to ibm data science experience using the command line,34,1,0,108,1.1851851851851851,1.1991856561954302
34,593,upload files to ibm data science experience using the command line,35,1,0,108,1.1851851851851851,1.1991856561954302
35,593,upload files to ibm data science experience using the command line,36,1,0,108,1.1851851851851851,1.1991856561954302
36,593,upload files to ibm data science experience using the command line,37,2,0,108,1.1851851851851851,1.1991856561954302
37,593,upload files to ibm data science experience using the command line,38,1,0,108,1.1851851851851851,1.1991856561954302
38,593,upload files to ibm data science experience using the command line,39,1,0,108,1.1851851851851851,1.1991856561954302
39,593,upload files to ibm data science experience using the command line,40,1,0,108,1.1851851851851851,1.1991856561954302
40,593,upload files to ibm data science experience using the command line,41,1,0,108,1.1851851851851851,1.1991856561954302
41,593,upload files to ibm data science experience using the command line,42,1,0,108,1.1851851851851851,1.1991856561954302
42,593,upload files to ibm data science experience using the command line,43,1,0,108,1.1851851851851851,1.1991856561954302
43,593,upload files to ibm data science experience using the command line,44,1,0,108,1.1851851851851851,1.1991856561954302
44,593,upload files to ibm data science experience using the command line,45,1,0,108,1.1851851851851851,1.1991856561954302
45,593,upload files to ibm data science experience using the command line,46,1,0,108,1.1851851851851851,1.1991856561954302
46,593,upload files to ibm data science experience using the command line,47,1,0,108,1.1851851851851851,1.1991856561954302
47,593,upload files to ibm data science experience using the command line,48,1,0,108,1.1851851851851851,1.1991856561954302
48,593,upload files to ibm data science experience using the command line,49,1,0,108,1.1851851851851851,1.1991856561954302
49,593,upload files to ibm data science experience using the command line,50,1,0,108,1.1851851851851851,1.1991856561954302
50,593,upload files to ibm data science experience using the command line,51,1,0,108,1.1851851851851851,1.1991856561954302
51,593,upload files to ibm data science experience using the command line,52,1,0,108,1.1851851851851851,1.1991856561954302
52,593,upload files to ibm data science experience using the command line,53,1,0,108,1.1851851851851851,1.1991856561954302
53,593,upload files to ibm data science experience using the command line,54,1,0,108,1.1851851851851851,1.1991856561954302
54,593,upload files to ibm data science experience using the command line,55,1,0,108,1.1851851851851851,1.1991856561954302
55,593,upload files to ibm data science experience using the command line,56,1,0,108,1.1851851851851851,1.1991856561954302
56,593,upload files to ibm data science experience using the command line,57,1,0,108,1.1851851851851851,1.1991856561954302
57,593,upload files to ibm data science experience using the command line,58,1,0,108,1.1851851851851851,1.1991856561954302
58,593,upload files to ibm data science experience using the command line,59,1,0,108,1.1851851851851851,1.1991856561954302
59,593,upload files to ibm data science experience using the command line,60,1,0,108,1.1851851851851851,1.1991856561954302
60,593,upload files to ibm data science experience using the command line,61,2,0,108,1.1851851851851851,1.1991856561954302
61,593,upload files to ibm data science experience using the command line,62,1,0,108,1.1851851851851851,1.1991856561954302
62,593,upload files to ibm data science experience using the command line,63,2,0,108,1.1851851851851851,1.1991856561954302
63,593,upload files to ibm data science experience using the command line,64,1,0,108,1.1851851851851851,1.1991856561954302
64,593,upload files to ibm data science experience using the command line,65,1,0,108,1.1851851851851851,1.1991856561954302
65,593,upload files to ibm data science experience using the command line,66,1,0,108,1.1851851851851851,1.1991856561954302
66,593,upload files to ibm data science experience using the command line,67,1,0,108,1.1851851851851851,1.1991856561954302
67,593,upload files to ibm data science experience using the command line,68,2,0,108,1.1851851851851851,1.1991856561954302
68,593,upload files to ibm data science experience using the command line,69,1,0,108,1.1851851851851851,1.1991856561954302
